NAICS#,Kind of Business,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
4411,Car dealers,"1,022,895","1,008,188","981,501","940,450","875,566","819,290","752,778","684,505","621,180","551,996","649,505","767,403","760,798","753,071","738,074","722,260","706,682","707,676","687,782","661,820","593,501","564,658","543,949","501,684","468,100","407,126","358,444"
442,Furniture,"116,895","113,035","110,404","106,570","99,718","95,349","91,542","87,586","85,205","84,749","98,720","111,144","112,795","109,120","103,757","96,736","94,438","91,484","91,170","84,294","77,412","72,715","67,707","63,470","60,416","55,456","52,336"
443,Electronics,"100,205","98,570","99,043","103,658","105,197","104,699","103,882","101,978","99,589","97,899","108,384","110,341","110,091","106,122","100,013","92,850","91,208","88,493","90,422","87,363","82,731","77,657","76,060","72,379","64,370","55,132","48,691"
444,Build mat. & garden ,"381,313","365,622","348,697","331,611","318,352","301,797","281,533","269,480","260,566","261,637","301,833","320,854","334,130","320,802","295,274","263,463","248,539","239,379","228,994","218,290","202,423","191,063","176,683","164,561","157,228","140,964","130,989"
445,Food & bev.,"745,736","725,137","699,349","685,381","669,165","640,847","628,205","609,137","580,530","568,418","569,276","547,837","525,232","508,484","490,380","474,385","464,856","462,429","444,764","433,699","416,525","409,373","401,073","390,386","384,340","374,516","370,513"
4451,Grocery stores ,"665,097","647,813","623,881","613,159","599,603","574,547","563,645","547,476","520,750","510,033","511,222","491,360","471,699","457,667","441,136","427,987","419,813","418,127","402,515","394,250","378,188","372,570","365,547","356,409","350,523","341,318","337,370"
4453,Liquor stores ,"57,968","55,232","53,213","50,550","48,286","46,076","44,365","42,392","41,401","40,245","39,504","38,128","36,016","33,567","32,189","30,469","29,894","29,621","28,507","26,476","25,382","24,081","23,157","22,007","22,101","21,538","21,687"
446,"Health, personal care","347,454","333,338","327,153","315,244","299,263","281,840","274,000","271,612","260,435","252,794","246,573","237,164","223,336","210,085","199,290","192,426","179,983","166,533","155,234","142,699","129,583","118,672","109,557","101,635","96,363","92,594","89,705"
44611,"Pharmacies, drug stores","288,846","277,396","272,330","263,469","250,546","235,548","229,951","231,249","222,230","217,260","210,857","202,284","191,018","179,170","169,231","165,524","153,936","141,772","130,857","121,282","108,415","98,823","91,810","85,840","81,994","79,707","77,791"
447,Gas stations ,"503,925","459,463","422,792","444,027","538,790","549,613","555,419","533,457","448,349","391,234","503,639","451,822","421,976","378,923","324,006","275,187","250,619","251,383","249,816","212,524","191,727","199,700","194,425","181,113","171,222","162,376","156,324"
4481,Clothing stores,"194,723","190,796","189,932","187,149","183,125","178,993","176,131","168,095","158,276","151,370","157,702","161,622","154,546","145,575","137,289","128,361","122,834","119,208","118,097","111,681","104,128","97,722","93,712","90,708","90,161","88,127","85,370"
44811,Men's clothing,"8,208","8,298","8,494","8,810","8,870","8,670","8,272","7,860","7,285","7,353","8,351","8,772","8,844","8,737","8,566","8,249","8,112","8,625","9,507","9,667","10,196","10,069","9,546","9,315","10,032","9,962","10,179"
44812,Women's clothing,"41,173","40,660","40,845","41,065","41,575","41,787","41,794","40,048","37,690","36,055","38,402","40,294","38,809","37,075","34,954","32,565","31,246","31,453","31,447","29,549","28,332","27,822","28,238","28,696","30,585","32,350","31,815"
44814,Family clothing,"109,786","105,915","103,855","101,363","98,201","95,406","92,631","88,272","84,508","80,924","82,799","84,592","81,712","77,292","72,444","67,494","64,289","60,150","58,913","55,318","50,154","45,243","42,259","39,999","38,103","35,297","33,146"
4482,Shoe stores,"38,064","35,726","36,165","34,513","33,451","32,516","31,039","29,260","27,233","25,646","26,975","26,811","26,682","25,263","23,685","23,167","23,201","22,884","22,875","22,690","22,238","21,450","21,235","20,341","19,907","19,028","18,616"
451,Sporting goods,"81,179","84,188","86,483","85,701","83,787","82,877","81,159","78,647","78,227","77,678","80,561","80,909","78,534","75,228","73,167","70,359","69,212","68,583","67,592","64,072","60,441","57,692","56,071","53,033","50,145","45,573","42,966"
452,General merchandise ,"706,298","687,123","675,389","674,889","667,163","651,874","642,313","624,766","603,757","588,918","595,041","578,582","554,256","528,385","497,382","468,771","446,520","427,468","404,228","380,179","351,081","331,363","315,305","300,498","285,190","265,996","247,876"
4521,Department stores ,"141,578","144,667","152,571","164,031","168,068","170,194","177,313","183,361","184,755","186,583","198,236","209,392","213,155","215,266","215,691","214,470","220,743","228,377","232,475","230,304","223,290","220,108","212,203","205,920","198,945","187,685","177,089"
452112,Discount dept. stores ,"95,650","94,402","97,873","105,092","107,525","109,578","114,352","117,623","119,854","123,243","127,087","132,505","132,858","130,515","131,225","129,324","133,886","137,595","136,193","133,652","128,982","126,123","120,031","116,620","109,543","101,360","91,936"
45291,Supercenters ,"484,065","465,322","449,926","441,741","433,303","419,365","406,309","386,343","367,993","354,529","351,226","324,963","297,956","271,920","242,330","216,286","191,252","164,716","139,614","118,809","98,493","81,919","73,079","65,101","57,756","46,628","40,025"
